Gene_Symbol	Tier
PHGDH	1
SPTLC1	1
SPTLC2	1
ATMIN	2
BMP4	2
C16orf87	2
CCT6A	2
CD14	2
CDPF1	2
CERS4	2
CHCHD2	2
CLEC18A	2
CLEC18C	2
CMC2	2
COG4	2
CPS1	2
DHRS7	2
DNA2	2
DNAJC24	2
DYNC1I2	2
EIF2B4	2
FLT1	2
GCSH	2
GMEB1	2
GPT2	2
GTF3C2	2
H6PD	2
HNRNPH3	2
IFT172	2
IRAK1BP1	2
JMJD6	2
KLF15	2
KRTCAP3	2
LGI3	2
LRRC2	2
MRPL33	2
MXRA7	2
MYLK3	2
NIPSNAP1	2
NPLOC4	2
NRBF2	2
NRBP1	2
NUDT18	2
PCNX4	2
PCYT1A	2
PDPR	2
PHIP	2
PHKG1	2
PKDREJ	2
PPM1G	2
REEP3	2
REEP4	2
SATB2	2
SHCBP1	2
SIX6	2
SLC25A12	2
SLC25A16	2
SLC4A1AP	2
SLC51A	2
SLC6A9	2
SNX17	2
SPPL2C	2
STH	2
SUMF2	2
TMEM161B	2
TRMU	2
TSPAN10	2
VAMP2	2
VPS35	2
WNT3	2
WWP2	2
YTHDF2	2
ZNF605	2
ZNF713	2
HMGCS2	2
JMJD1C	2
MRPS17	2
NIPSNAP2	2
DIRC3	2
DNAJA2	2
EOMES	2
GCKR	2
ORMDL2	2
PPM1A	2
PSPH	2
RDH5	2
SCRG1	2
SLC16A8	2
SLC1A4	2
SLC4A7	2
SLC6A20	2
TNS1	2
TTC39B	2
VLDLR	2
ZCCHC2	2
AMT	2
CERS2	2
CERS3	2
CYP2U1	2
DLD	2
FADS3	2
GLDC	2
GPT1	2
ORMDL1	2
ORMDL3	2
PSAT1	2
SCARB1	2
SLC1A5	2
